ano;sigla_uf;rede;diretoria;id_municipio;id_escola;id_escola_sp;codigo_tipo_escola;prop_aprovados_anos_inciais_ef;prop_reprovados_anos_iniciais_ef;prop_abandono_anos_iniciais_ef;prop_aprovados_anos_finais_ef;prop_reprovados_anos_finais_ef;prop_abandono_anos_finais_ef;prop_aprovados_em;prop_reprovados_em;prop_abandono_em
2011;SP;estadual;NORTE 1;3550308;35910995;910995;;0;0;0;0;0;0;65.03225708;32.77419281;2.193548441
2011;SP;estadual;NORTE 1;3550308;35910296;910296;;98.034935;0.655021846;1.310043693;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35923618;923618;;97.4193573;0.967741907;1.612903237;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35925861;925861;;96.03524017;0;3.964757681;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000619;619;;99.35275269;0.647249162;0;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000632;632;;96.33507538;1.047120452;2.617800951;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35923254;923254;;0;0;0;0;0;0;79.37220001;20.40358734;0.224215239
2011;SP;estadual;NORTE 1;3550308;35910302;910302;;0;0;0;0;0;0;74.32795715;13.97849464;11.6935482
2011;SP;estadual;NORTE 1;3550308;35924726;924726;;99.70501709;0;0.294985265;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35924751;924751;;0;0;0;0;0;0;74.94553375;13.61655807;11.43790817
2011;SP;estadual;NORTE 1;3550308;35000103;103;;99.60474396;0;0.395256907;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35048598;48598;;100;0;0;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35044261;44261;;95.14562988;0;4.854369164;0;0;0;76.72727203;14.18181801;9.090909004
2011;SP;estadual;NORTE 1;3550308;35000280;280;;0;0;0;0;0;0;84.26853943;15.73146248;0
2011;SP;estadual;NORTE 1;3550308;35000292;292;;96.52605438;2.97766757;0.496277928;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000267;267;;0;0;0;0;0;0;76.75804901;22.76519585;0.476758033
2011;SP;estadual;NORTE 1;3550308;35000401;401;;0;0;0;0;0;0;85.3092804;10.30927849;4.381443501
2011;SP;estadual;NORTE 1;3550308;35922092;922092;;95.61855316;0.515463889;3.865979433;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000176;176;;0;0;0;0;0;0;53.33333206;35.64625931;11.02040863
2011;SP;estadual;NORTE 1;3550308;35037102;37102;;0;0;0;0;0;0;40.08438873;45.850914;14.06469727
2011;SP;estadual;NORTE 1;3550308;35559210;559210;;62.5;37.5;0;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000589;589;;0;0;0;0;0;0;65.75875854;11.28404713;22.9571991
2011;SP;estadual;NORTE 1;3550308;35072503;72503;;0;0;0;0;0;0;74.68354797;22.78481102;2.531645536
2011;SP;estadual;NORTE 1;3550308;35000036;36;;0;0;0;0;0;0;82.64463043;15.04132271;2.314049482
2011;SP;estadual;NORTE 1;3550308;35000059;59;;0;0;0;0;0;0;78.34645844;12.72965908;8.923884392
2011;SP;estadual;NORTE 1;3550308;35038097;38097;;0;0;0;0;0;0;91.71894836;6.398996353;1.882057667
2011;SP;estadual;NORTE 1;3550308;35000224;224;;0;0;0;0;0;0;68.29268646;19.16376305;12.54355431
2011;SP;estadual;NORTE 1;3550308;35457243;457243;;96.17834473;0.636942685;3.184713364;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000231;231;;99.21568298;0.784313738;0;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000243;243;;98.46154022;0;1.538461566;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35036959;36959;;0;0;0;0;0;0;75.93073273;10.64935112;13.41991329
2011;SP;estadual;NORTE 1;3550308;35000197;197;;0;0;0;0;0;0;72.85713959;24.08163261;3.061224461
2011;SP;estadual;NORTE 1;3550308;35000413;413;;0;0;0;0;0;0;78.25086212;18.64211655;3.107019663
2011;SP;estadual;NORTE 1;3550308;35904260;904260;;100;0;0;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35036500;36500;;95.59999847;3.200000048;1.200000048;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000012;12;;0;0;0;0;0;0;72.68041229;27.31958771;0
2011;SP;estadual;NORTE 1;3550308;35000474;474;;94.91525269;3.813559294;1.271186471;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35923624;923624;;0;0;0;0;0;0;73.36683655;19.26298141;7.370184422
2011;SP;estadual;NORTE 1;3550308;35046218;46218;;98.80952454;0;1.190476179;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35046267;46267;;95.78059387;0;4.219409466;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35036444;36444;;92.68292999;3.794038057;3.523035288;0;0;0;62.25296402;22.92490196;14.82213402
2011;SP;estadual;NORTE 1;3550308;35041683;41683;;97.39583588;1.041666627;1.5625;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35907108;907108;;0;0;0;0;0;0;61.53845978;33.50107956;4.960460186
2011;SP;estadual;NORTE 1;3550308;35000279;279;;97.9310379;0.517241359;1.551724195;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35922249;922249;;0;0;0;0;0;0;65.0326767;32.35293961;2.614379168
2011;SP;estadual;NORTE 1;3550308;35923606;923606;;96.65605164;0.159235671;3.184713364;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35924738;924738;;94.82758331;5.172413826;0;0;0;0;64.86013794;21.67832184;13.46153831
2011;SP;estadual;NORTE 1;3550308;35904259;904259;;100;0;0;0;0;0;79.08745575;12.92775631;7.984790802
2011;SP;estadual;NORTE 1;3550308;35000346;346;;100;0;0;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000644;644;;96.3235321;2.941176414;0.735294104;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35037692;37692;;0;0;0;0;0;0;68.11594391;28.3816433;3.502415419
2011;SP;estadual;NORTE 1;3550308;35036456;36456;;0;0;0;0;0;0;76.76281738;23.07692337;0.160256416
2011;SP;estadual;NORTE 1;3550308;35046255;46255;;97.66949463;1.906779647;0.423728824;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000152;152;;94.01709747;2.991452932;2.991452932;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000061;61;;98.36065674;0.983606577;0.655737698;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000073;73;;99.71671295;0;0.283286124;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35130333;130333;;0;0;0;0;0;0;71.42857361;14.28571415;14.28571415
2011;SP;estadual;NORTE 1;3550308;35904247;904247;;0;0;0;0;0;0;79.54545593;15.45454502;5
2011;SP;estadual;NORTE 1;3550308;35000139;139;;0;0;0;0;0;0;68.41004181;30.0209198;1.569037676
2011;SP;estadual;NORTE 1;3550308;35000140;140;;0;0;0;0;0;0;66.66666412;28.80952454;4.523809433
2011;SP;estadual;NORTE 1;3550308;35000361;361;;100;0;0;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35037722;37722;;99.77973938;0.220264316;0;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35924748;924748;;0;0;0;0;0;0;79.89949799;12.56281376;7.537688255
2011;SP;estadual;NORTE 1;3550308;35924763;924763;;0;0;0;0;0;0;67.45689392;21.875;10.66810322
2011;SP;estadual;NORTE 1;3550308;35926103;926103;;97.09091187;0;2.909090996;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35414612;414612;;96.80850983;1.06382978;2.127659559;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35037655;37655;;0;0;0;0;0;0;71.96495819;19.89987564;8.135169029
2011;SP;estadual;NORTE 1;3550308;35037679;37679;;0;0;0;0;0;0;80.92715454;2.384105921;16.68874168
2011;SP;estadual;NORTE 1;3550308;35037709;37709;;0;0;0;0;0;0;79.85865784;14.48763275;5.653710365
2011;SP;estadual;NORTE 1;3550308;35046243;46243;;97.00374603;0.749063671;2.247190952;0;0;0;67.34233856;16.21621704;16.44144058
2011;SP;estadual;NORTE 1;3550308;35037643;37643;;0;0;0;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000395;395;;0;0;0;0;0;0;63.70530701;22.96858025;13.32611084
2011;SP;estadual;NORTE 1;3550308;35130321;130321;;98.27586365;1.724137902;0;0;0;0;72.30444336;27.27272797;0.422832966
2011;SP;estadual;NORTE 1;3550308;35000255;255;;0;0;0;0;0;0;62.0338974;24.06779671;13.89830494
2011;SP;estadual;NORTE 1;3550308;35039342;39342;;96.61016846;1.694915295;1.694915295;0;0;0;80.13245392;19.8675499;0
2011;SP;estadual;NORTE 1;3550308;35290543;290543;;94.78827667;3.583061934;1.628664494;0;0;0;81.59340668;13.18681335;5.219780445
2011;SP;estadual;NORTE 1;3550308;35037680;37680;;98.01444244;1.263537884;0.722021639;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35269359;269359;;0;0;0;0;0;0;71.04762268;28.5714283;0.380952388
2011;SP;estadual;NORTE 1;3550308;35000024;24;;0;0;0;0;0;0;71.98275757;16.0021553;12.01508617
2011;SP;estadual;NORTE 1;3550308;35000097;97;;0;0;0;0;0;0;97.70270538;2.297297239;0
2011;SP;estadual;NORTE 1;3550308;35000085;85;;95.08197021;3.934426308;0.983606577;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000553;553;;0;0;0;0;0;0;80.46102905;18.66081238;0.878155887
2011;SP;estadual;NORTE 1;3550308;35037710;37710;;0;0;0;0;0;0;80.1418457;11.34751797;8.510638237
2011;SP;estadual;NORTE 1;3550308;35924398;924398;;97.70992279;0.381679386;1.908396959;0;0;0;77.8181839;19.27272797;2.909090996
2011;SP;estadual;NORTE 1;3550308;35000450;450;;0;0;0;0;0;0;65.70363617;33.36439896;0.931966424
2011;SP;estadual;NORTE 1;3550308;35000565;565;;97.8666687;1.066666722;1.066666722;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000206;206;;98.29059601;0;1.709401727;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000188;188;;0;0;0;0;0;0;84.36363983;11.45454502;4.181818008
2011;SP;estadual;NORTE 1;3550308;35037667;37667;;100;0;0;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000048;48;;0;0;0;0;0;0;68.26215363;23.12223816;8.615611076
2011;SP;estadual;NORTE 1;3550308;35000620;620;;0;0;0;0;0;0;78.68480682;17.91383171;3.401360512
2011;SP;estadual;NORTE 1;3550308;35901684;901684;;0;0;0;0;0;0;78.06004333;10.04618931;11.8937645
