ano;sigla_uf;rede;diretoria;id_municipio;prop_aprovados_anos_inciais_ef;prop_reprovados_anos_iniciais_ef;prop_abandono_anos_iniciais_ef;prop_aprovados_anos_finais_ef;prop_reprovados_anos_finais_ef;prop_abandono_anos_finais_ef;prop_aprovados_em;prop_reprovados_em;prop_abandono_em
2011;SP;;;3500105;0;0;0;88.70863;10.9669;0.3244646;80.63611;19.36389;0
2011;SP;;;3514403;0;0;0;90;6.643836;3.356164;79.43989;11.4071;9.153006
2011;SP;;;3515806;0;0;0;0;0;0;98.9011;1.098901;0
2011;SP;;;3516002;0;0;0;89.52879;6.544503;3.926702;76.83983;10.82251;12.33766
2011;SP;;;3520806;0;0;0;98.76543;1.234568;0;86.18421;13.81579;0
2011;SP;;;3521606;0;0;0;91.71429;8;0.2857143;94.14226;5.02092;0.8368201
2011;SP;;;3526001;0;0;0;95.43307;4.566929;0;93.87755;6.122449;0
2011;SP;;;3527405;0;0;0;82.1656;16.77282;1.061571;60.62992;37.63779;1.732283
2011;SP;;;3528908;0;0;0;94.11765;5.882353;0;89.38053;10.61947;0
2011;SP;;;3531605;0;0;0;97.4138;2.586207;0;96.42857;3.571429;0
2011;SP;;;3533106;0;0;0;93.83562;3.424658;2.739726;79.06977;9.302325;11.62791
2011;SP;;;3534609;0;0;0;94.49185;4.499612;1.008534;86.15752;12.7685;1.073986
2011;SP;;;3534807;0;0;0;0;0;0;93.91026;6.089744;0
2011;SP;;;3534906;0;0;0;89.04348;7.826087;3.130435;78.87701;10.42781;10.69519
2011;SP;;;3535408;0;0;0;86.83958;7.588857;5.571566;79.47883;10.58632;9.934854
2011;SP;;;3536406;0;0;0;87.80991;8.471074;3.719008;84.69055;7.491857;7.81759
2011;SP;;;3540853;0;0;0;98.7013;1.298701;0;93.65079;6.349206;0
2011;SP;;;3544707;0;0;0;92.81437;7.185629;0;87.70492;12.29508;0
2011;SP;;;3545100;0;0;0;95.62682;3.790087;0.5830904;89.32039;4.854369;5.825243
2011;SP;;;3547106;0;0;0;98.93617;1.06383;0;87.5817;6.535948;5.882353
2011;SP;;;3549300;0;0;0;100;0;0;94.73684;2.105263;3.157895
2011;SP;;;3555109;0;0;0;0;0;0;88.51064;2.340425;9.148936
2011;SP;;;3501608;94.26801;5.577072;0.1549187;92.04206;5.634169;2.32377;79.26773;14.04295;6.689325
2011;SP;;;3533403;0;0;0;92.87671;3.972603;3.150685;82.57858;9.323388;8.098029
2011;SP;;;3545803;94.96503;5.034965;0;93.06123;5.102041;1.836735;82.55602;10.57261;6.871369
2011;SP;;;3502101;0;0;0;89.98888;7.230256;2.780868;85.47242;9.339159;5.188422
2011;SP;;;3511003;0;0;0;92.84314;5;2.156863;83.52941;12.20588;4.264706
2011;SP;;;3517802;0;0;0;84.63251;13.36303;2.004454;84.26966;8.988764;6.741573
2011;SP;;;3520442;0;0;0;93.74464;4.28449;1.970865;60.93535;25.58459;13.48005
2011;SP;;;3523008;0;0;0;89.87342;8.227848;1.898734;84.375;10.625;5
2011;SP;;;3526506;0;0;0;0;0;0;88.57143;7.428571;4
2011;SP;;;3530102;0;0;0;96.36533;2.702703;0.9319664;93.50133;4.64191;1.856764
2011;SP;;;3532108;0;0;0;95.70313;4.296875;0;91.05691;8.943089;0
2011;SP;;;3533205;0;0;0;0;0;0;89.94083;8.87574;1.183432
2011;SP;;;3537404;0;0;0;97.69292;1.511535;0.7955449;96.2963;2.805836;0.8978676
2011;SP;;;3552304;0;0;0;0;0;0;77.84091;16.47727;5.681818
