cod_ibge;municipio;area_territorial_km2;pop_residente;den_demografica_hab/km;escolarizacao_6_a_14_anos_percent;idhm;receitas_realizadas_1000;pib_2020
3500105;Adamantina;411.987;34687;84.19;97.6;0.79;160718.6793;35788.26
3500204;Adolfo;211.055;4351;20.62;98.6;0.73;27333.74731;38464.09
3500303;Aguaí;474.554;32072;67.58;95.8;0.715;84094.76006;31446.28
3500402;Águas da Prata;142.673;7369;51.65;98.8;0.781;29390.24814;22718.42
3500501;Águas de Lindóia;60.126;17930;298.21;96.2;0.745;86949.22213;26418.38
3500550;Águas de Santa Bárbara;1;7177;17.74;98.2;0.757;34484.19534;32824.76
3500600;Águas de São Pedro;3.612;2780;769.66;98.4;0.854;25157.75668;39186.7
3500709;Agudos;966.708;37680;38.98;97.9;0.745;159980.6205;61799.1
3500758;Alambari;159.6;6141;38.48;99.3;0.712;23710.99557;19832.91
3500808;Alfredo Marcondes;118.915;4445;37.38;98.6;0.741;16478.9668;26263.11
3500907;Altair;313.007;3451;11.03;96;0.687;22318.94651;26679.18
3501004;Altinópolis;928.956;16818;18.1;99.3;0.73;72144.19151;40198.44
3501103;Alto Alegre;318.574;3841;12.06;95.1;0.7;20846.4169;28574.33
3501152;Alumínio;83.619;17301;206.9;98.8;0.766;75397.42207;119952.09
3501202;Álvares Florence;362.411;3915;10.8;99.3;0.728;20470.81479;30750.75
3501301;Álvares Machado;347.647;27255;78.4;98.3;0.758;62881.3731;24598.56
3501400;Álvaro de Carvalho;153.662;4808;31.29;99.2;0.688;17943.08204;10112.46
3501509;Alvinlândia;84.879;2885;33.99;99.3;0.722;15306.4017;17789.73
3501608;Americana;133.912;237240;1771.61;98;0.811;774032.5912;49907.97
3501707;Américo Brasiliense;122.958;33019;268.54;98.6;0.751;99791.19948;26705.95
3501806;Américo de Campos;252.876;5870;23.21;98.2;0.745;23218.51517;18248.55
3501905;Amparo;445.323;68008;152.72;95.7;0.785;262299.6617;63521.24
3502002;Analândia;325.953;4589;14.08;99.7;0.754;31224.86385;38762.45
3502101;Andradina;964.226;59783;62;98.2;0.779;166955.2711;46733.61
3502200;Angatuba;1027.288;24022;23.38;98.3;0.719;82865.40739;51817.83
3502309;Anhembi;736.557;5674;7.7;97.2;0.721;31346.97388;22752.36
3502408;Anhumas;320.84;4023;12.54;98.3;0.741;19928.85581;20017.33
3502507;Aparecida;120.89;32569;269.41;98.4;0.755;111612.7646;27206.69
3502606;Aparecida d'Oeste;179.004;4086;22.83;97.7;0.721;19560.67564;37490.85
3502705;Apiaí;974.322;24585;25.23;97.3;0.71;71090.28962;29682.44
3502754;Araçariguama;145.204;21522;148.22;98.2;0.704;109901.4892;140809.35
3502804;Araçatuba;1167.126;200124;171.47;97.6;0.788;524096.0557;41913.02
3502903;Araçoiaba da Serra;255.305;32443;127.08;99.4;0.776;137563.5926;28068.97
3503000;Aramina;202.829;5420;26.72;98.7;0.74;23826.00133;27533.57
3503109;Arandu;285.908;6885;24.08;98.4;0.685;30445.16322;28695.3
3503158;Arapeí;156.903;2330;14.85;98.7;0.68;15297.20594;16212.51
3503208;Araraquara;1003.625;242228;241.35;98.7;0.815;813194.6774;44813.53
3503307;Araras;644.831;130866;202.95;97.5;0.781;543415.814;47779.64
3503356;Arco-Íris;264.904;2044;7.72;99.1;0.722;14876.26005;47412.65
3503406;Arealva;506.226;8130;16.06;99.6;0.744;28042.66791;28362.7
3503505;Areias;305.227;3577;11.72;96.8;0.697;17339.9579;14580.15
3503604;Areiópolis;85.907;10130;117.92;97.3;0.695;31683.03985;13182.41
3503703;Ariranha;132.624;7602;57.32;99.6;0.733;46471.2831;99204.4
3503802;Artur Nogueira;178.026;51456;289.04;98.3;0.749;151691.3716;26702.02
3503901;Arujá;96.167;86678;901.33;98.2;0.784;285278.2461;83735.27
3503950;Aspásia;69.373;1842;26.55;97.1;0.735;15746.94939;22012.5
3504008;Assis;460.609;101409;220.16;98.9;0.805;354752.0284;35535.6
3504107;Atibaia;478.521;158647;331.54;97.3;0.765;489342.7624;51443.08
3504206;Auriflama;434.498;13692;31.51;98.8;0.773;43953.08385;21323.7
3504305;Avaí;540.689;4483;8.29;99.4;0.714;20941.63736;72824.31
3504404;Avanhandava;338.37;11263;33.29;97.2;0.705;47969.29454;35438.28
3504503;Avaré;1213.055;92805;76.51;97.9;0.767;312718.5032;30896.52
3504602;Bady Bassitt;110.372;27260;246.98;98.5;0.746;63869.75059;26249.59
3504701;Balbinos;91.635;3887;42.42;98.9;0.669;15169.28571;10441.93
3504800;Bálsamo;149.881;9596;64.02;99;0.756;24569.88605;27025.5
3504909;Bananal;616.429;9969;16.17;97.1;0.733;34246.83743;18548.14
3505005;Barão de Antonina;153.142;3531;23.06;100;0.711;16391.90513;19732.55
3505104;Barbosa;205.212;5640;27.48;98.4;0.699;23186.35882;15992.51
3505203;Bariri;444.405;31595;71.1;96.3;0.75;103011.584;38508.74
3505302;Barra Bonita;150.121;34346;228.79;99.8;0.788;115636.2077;38059.67
3505351;Barra do Chapéu;405.681;5179;12.77;96.9;0.66;15358.93517;24982.55
3505401;Barra do Turvo;1007.684;6876;6.82;95.6;0.641;35549.80915;14303.74
3505500;Barretos;1566.161;122485;78.21;97.8;0.789;526127.6901;40621.11
3505609;Barrinha;146.025;32092;219.77;97.5;0.725;81349.19113;16688.68
3505708;Barueri;65.701;316473;4816.87;97.8;0.786;2741826.705;185046.58
3505807;Bastos;170.912;21503;125.81;98.5;0.751;59380.25797;46690.01
3505906;Batatais;849.526;58402;68.75;97.7;0.761;174113.8563;33118.93
3506003;Bauru;667.684;379146;567.85;96.9;0.801;1302951.882;40021.97
3506102;Bebedouro;683.192;76373;111.79;98.5;0.78;270495.3764;41504.95
3506201;Bento de Abreu;301.687;2606;8.64;97.9;0.744;18357.07305;69395.89
3506300;Bernardino de Campos;244.158;11607;47.54;98.3;0.734;32647.22923;27022.96
3506359;Bertioga;491.546;64188;130.58;98.1;0.73;429374.2846;29433.13
3506409;Bilac;158.025;7319;46.32;99;0.768;29925.48339;33004.63
3506508;Birigui;530.031;118979;224.48;98;0.78;363952.1717;29382.24
3506607;Biritiba Mirim;317.406;29683;93.52;97.7;0.712;78762.9826;30219.33
3506706;Boa Esperança do Sul;690.748;12978;18.79;96;0.681;51604.80184;24116.4
3506805;Bocaina;363.926;11259;30.94;99.3;0.742;37931.81899;18981.5
