ano;sigla_uf;rede;diretoria;id_municipio;id_escola;id_escola_sp;codigo_tipo_escola;prop_aprovados_anos_inciais_ef;prop_reprovados_anos_iniciais_ef;prop_abandono_anos_iniciais_ef;prop_aprovados_anos_finais_ef;prop_reprovados_anos_finais_ef;prop_abandono_anos_finais_ef;prop_aprovados_em;prop_reprovados_em;prop_abandono_em
2011;SP;estadual;NORTE 1;3550308;35910995;910995;;0;0;0;0;0;0;6503225708;3277419281;2193548441
2011;SP;estadual;NORTE 1;3550308;35910296;910296;;98034935;655021846;1310043693;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35923618;923618;;974193573;967741907;1612903237;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35925861;925861;;9603524017;0;3964757681;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000619;619;;9935275269;647249162;0;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000632;632;;9633507538;1047120452;2617800951;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35923254;923254;;0;0;0;0;0;0;7937220001;2040358734;224215239
2011;SP;estadual;NORTE 1;3550308;35910302;910302;;0;0;0;0;0;0;7432795715;1397849464;116935482
2011;SP;estadual;NORTE 1;3550308;35924726;924726;;9970501709;0;294985265;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35924751;924751;;0;0;0;0;0;0;7494553375;1361655807;1143790817
2011;SP;estadual;NORTE 1;3550308;35000103;103;;9960474396;0;395256907;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35048598;48598;;100;0;0;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35044261;44261;;9514562988;0;4854369164;0;0;0;7672727203;1418181801;9090909004
2011;SP;estadual;NORTE 1;3550308;35000280;280;;0;0;0;0;0;0;8426853943;1573146248;0
2011;SP;estadual;NORTE 1;3550308;35000292;292;;9652605438;297766757;496277928;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000267;267;;0;0;0;0;0;0;7675804901;2276519585;476758033
2011;SP;estadual;NORTE 1;3550308;35000401;401;;0;0;0;0;0;0;853092804;1030927849;4381443501
