ano;sigla_uf;rede;diretoria;id_municipio;prop_aprovados_anos_inciais_ef;prop_reprovados_anos_iniciais_ef;prop_abandono_anos_iniciais_ef;prop_aprovados_anos_finais_ef;prop_reprovados_anos_finais_ef;prop_abandono_anos_finais_ef;prop_aprovados_em;prop_reprovados_em;prop_abandono_em
2011;SP;;;3500105;0;0;0;8870863;109669;3244646;8063611;1936389;0
2011;SP;;;3514403;0;0;0;900;6643836;3356164;7943989;114071;9153006
2011;SP;;;3515806;0;0;0;0;0;0;989011;1098901;0
2011;SP;;;3516002;0;0;0;8952879;6544503;3926702;7683983;1082251;1233766
2011;SP;;;3520806;0;0;0;9876543;1234568;0;8618421;1381579;0
2011;SP;;;3521606;0;0;0;9171429;80;2857143;9414226;502092;8368201
2011;SP;;;3526001;0;0;0;9543307;4566929;0;9387755;6122449;0
2011;SP;;;3527405;0;0;0;821656;1677282;1061571;6062992;3763779;1732283
2011;SP;;;3528908;0;0;0;9411765;5882353;0;8938053;1061947;0
2011;SP;;;3531605;0;0;0;974138;2586207;0;9642857;3571429;0
2011;SP;;;3533106;0;0;0;9383562;3424658;2739726;7906977;9302325;1162791
2011;SP;;;3534609;0;0;0;9449185;4499612;1008534;8615752;127685;1073986
2011;SP;;;3534807;0;0;0;0;0;0;9391026;6089744;0
2011;SP;;;3534906;0;0;0;8904348;7826087;3130435;7887701;1042781;1069519
2011;SP;;;3535408;0;0;0;8683958;7588857;5571566;7947883;1058632;9934854
2011;SP;;;3536406;0;0;0;8780991;8471074;3719008;8469055;7491857;781759
2011;SP;;;3540853;0;0;0;987013;1298701;0;9365079;6349206;0
2011;SP;;;3544707;0;0;0;9281437;7185629;0;8770492;1229508;0
2011;SP;;;3545100;0;0;0;9562682;3790087;5830904;8932039;4854369;5825243
2011;SP;;;3547106;0;0;0;9893617;106383;0;875817;6535948;5882353
2011;SP;;;3549300;0;0;0;1000;0;0;9473684;2105263;3157895
2011;SP;;;3555109;0;0;0;0;0;0;8851064;2340425;9148936
2011;SP;;;3501608;9426801;5577072;1549187;9204206;5634169;232377;7926773;1404295;6689325
2011;SP;;;3533403;0;0;0;9287671;3972603;3150685;8257858;9323388;8098029
2011;SP;;;3545803;9496503;5034965;0;9306123;5102041;1836735;8255602;1057261;6871369
2011;SP;;;3502101;0;0;0;8998888;7230256;2780868;8547242;9339159;5188422
2011;SP;;;3511003;0;0;0;9284314;50;2156863;8352941;1220588;4264706
2011;SP;;;3517802;0;0;0;8463251;1336303;2004454;8426966;8988764;6741573
2011;SP;;;3520442;0;0;0;9374464;428449;1970865;6093535;2558459;1348005
2011;SP;;;3523008;0;0;0;8987342;8227848;1898734;84375;10625;50
2011;SP;;;3526506;0;0;0;0;0;0;8857143;7428571;40
2011;SP;;;3530102;0;0;0;9636533;2702703;9319664;9350133;464191;1856764
2011;SP;;;3532108;0;0;0;9570313;4296875;0;9105691;8943089;0
2011;SP;;;3533205;0;0;0;0;0;0;8994083;887574;1183432
2011;SP;;;3537404;0;0;0;9769292;1511535;7955449;962963;2805836;8978676
2011;SP;;;3552304;0;0;0;0;0;0;7784091;1647727;5681818
2011;SP;;;3502705;9618056;3819444;0;9569537;3405866;8987701;8820436;8489858;3305785
2011;SP;;;3505351;0;0;0;9548254;4312115;2053388;9264706;4779412;2573529
2011;SP;;;3517604;1000;0;0;9967585;0;3241491;9876289;1030928;1134021
2011;SP;;;3521200;0;0;0;9012346;6584362;3292181;8154507;1287554;5579399
2011;SP;;;3522158;9166666;8333333;0;971519;2531646;3164557;9714286;2857143;0
2011;SP;;;3522653;0;0;0;9801488;1488834;4962779;9427312;2202643;3524229
2011;SP;;;3542800;9852941;1470588;0;9389068;5144694;9646302;9447005;2304147;3225806
2011;SP;;;3543006;0;0;0;9692931;1680185;1390498;9346847;3265766;3265766
2011;SP;;;3502804;0;0;0;9400465;4686162;1309189;8311995;142013;2678747
2011;SP;;;3506201;0;0;0;9548387;1290323;3225806;820;50;130
2011;SP;;;3518206;0;0;0;9278033;499232;2227343;8757397;6804734;5621302
2011;SP;;;3544400;0;0;0;9726776;273224;0;8368794;9219858;7092198
2011;SP;;;3548054;0;0;0;0;0;0;9058172;4432133;498615
2011;SP;;;3556305;0;0;0;9368421;2631579;3684211;8644501;4092072;9462915
2011;SP;;;3501707;0;0;0;9118087;6950673;186846;778672;2018779;1945003
2011;SP;;;3503208;9839932;1600674;0;9219745;7194557;6079907;7203493;2373583;4229237
2011;SP;;;3506706;0;0;0;0;0;0;8118279;188172;0
2011;SP;;;3516853;0;0;0;8698412;8253968;4761905;7682404;9871244;1330472
2011;SP;;;3529302;9542683;4573171;0;9584065;3427065;7322788;8482294;8178752;6998313
2011;SP;;;3532058;0;0;0;0;0;0;7419355;1152074;1428571
